,precision,recall,f1-score,support
Cow__Foot-and-mouth,0.9333333333333333,0.9158878504672897,0.9245283018867925,107.0
Cow__Healthy,0.9141104294478528,0.8816568047337278,0.8975903614457831,169.0
Cow__Lumpy,0.9096045197740112,0.92,0.9147727272727273,175.0
Cow__Mastitis,0.8205128205128205,0.9696969696969697,0.8888888888888888,33.0
accuracy,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091
macro avg,0.8943902757670044,0.9218104062244968,0.9064450698735479,484.0
weighted avg,0.9103492629767126,0.9090909090909091,0.9091649999840594,484.0
overall_accuracy,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091
