,precision,recall,f1-score,support
Pig__Bacterial_Erysipelas,0.4276729559748428,0.6415094339622641,0.5132075471698113,106.0
Pig__Bacterial_Greasy,0.49411764705882355,0.39622641509433965,0.4397905759162304,106.0
Pig__Environmental_Dermatitis,0.7682926829268293,0.5943396226415094,0.6702127659574468,106.0
Pig__Environmental_Sunburn,0.5803571428571429,0.6074766355140186,0.593607305936073,107.0
Pig__Fungal_Pityriasis_Rosea,0.7192982456140351,0.3867924528301887,0.5030674846625767,106.0
Pig__Fungal_Ringworm,0.6491228070175439,0.6981132075471698,0.6727272727272727,106.0
Pig__Healthy,0.7933884297520661,0.9056603773584906,0.8458149779735683,106.0
Pig__Parasitic_Mange,0.4,0.34285714285714286,0.36923076923076925,105.0
Pig__Viral_Foot_and_Mouth,0.6165413533834586,0.7735849056603774,0.6861924686192469,106.0
Pig__Viral_Swinepox,0.616822429906542,0.6226415094339622,0.6197183098591549,106.0
accuracy,0.5971698113207548,0.5971698113207548,0.5971698113207548,0.5971698113207548
macro avg,0.6065613694491285,0.5969201702899463,0.5913569478052151,1060.0
weighted avg,0.6067315176971069,0.5971698113207548,0.5915686237832389,1060.0
overall_accuracy,0.5971698113207548,0.5971698113207548,0.5971698113207548,0.5971698113207548
