,precision,recall,f1-score,support
Chicken__Cocci,0.989010989010989,0.9651474530831099,0.9769335142469471,373.0
Chicken__Healthy,0.9624664879356568,0.9889807162534435,0.9755434782608695,363.0
Chicken__Ncd,0.9772727272727273,1.0,0.9885057471264368,86.0
Chicken__Salmo,0.9923469387755102,0.9848101265822785,0.98856416772554,395.0
accuracy,0.981101068200493,0.981101068200493,0.981101068200493,0.981101068200493
macro avg,0.9802742857487208,0.984734573979708,0.9823867268399483,1217.0
weighted avg,0.9813466962888441,0.981101068200493,0.9811116055277476,1217.0
overall_accuracy,0.981101068200493,0.981101068200493,0.981101068200493,0.981101068200493
