,precision,recall,f1-score,support
Chicken__Cocci,0.9917355371900827,0.9651474530831099,0.9782608695652174,373.0
Chicken__Healthy,0.9523809523809523,0.9917355371900827,0.97165991902834,363.0
Chicken__Ncd,0.9767441860465116,0.9767441860465116,0.9767441860465116,86.0
Chicken__Salmo,0.9897435897435898,0.9772151898734177,0.9834394904458599,395.0
accuracy,0.9778142974527527,0.9778142974527527,0.9778142974527527,0.9778142974527527
macro avg,0.9776510663402841,0.9777105915482804,0.9775261162714821,1217.0
weighted avg,0.9782911742275305,0.9778142974527527,0.97786561518589,1217.0
overall_accuracy,0.9778142974527527,0.9778142974527527,0.9778142974527527,0.9778142974527527
